title,en,fi
logo,https://fi.unibet.com/hub/esports-mestarit/img/logo-en.svg,https://fi.unibet.com/hub/esports-mestarit/img/logo-fi.svg
logo_alt,E-Sports Champions,E-Sports Mestarit
main_desc1,With the League of Legends final drawing more viewers than the last game of the 2016 NBA Finals and total eSports prize pools exceeding $93 million; gaming has transformed from a pastime to a profession.,Kun League of Legends lopullinen muotoilu enemmän katsojia kuin viimeinen peli 2016 NBA ja yhteensä eSportsiin palkintopotit yli $ 93 miljoonaa pelaamista on muuttunut harrastus ammattiin.
main_desc2,"For the elite, competitive gaming has become a profitable career, but what makes these players stand out in a league of their own? Discover just how much these gamers earn, where they’re from and more in The Champions of eSports.","Eliitille, kilpailukykyinen pelaamista on tullut kannattava uran, mutta mitä tekee nämä pelaajat erottuvat omaa luokkaansa? Tutustu kuinka paljon nämä pelaajat ansaitsevat, missä he päässä ja enemmän mestareita eSports."
cat1,Industry,Ala
cat1_sub1,Viewership,Katsojamäärät
cat1_sub2,Prize Money,Palkintorahat
cat1_sub3,Number of Tournaments,Lukumäärä Turnaukset
cat1_sub4,Number of Pros,Lukumäärä Plussat
cat1_sub5,Average Tournament Winnings,Keskimääräinen turnauksista
cat1_sub6,Country Winnings,Maa Voitot
cat1_sub7,Player Nationalities,soitin kansallisuudet
cat1_sub8,Player Density,soitin tiheys
cat1_sub9,Country Rankings,Maa Sijoituksia
cat2,Leaderboards,Tulostaulukot
cat2_sub1,PRIZE MONEY BY GAME,Palkintorahat pelin mukaan
cat2_sub2,PLAYER COUNT BY GAME,PLAYER laskennoissa GAME
cat2_sub3,TOURNAMENTS BY GAME,Turnauksiin GAME
cat2_sub4,TOP EARNING TEAMS,TOP EARNING JOUKKUEET
cat2_sub5,TOP EARNING PLAYERS,TOP EARNING PELAAJAT
cat2_sub6,TOP FEMALE PLAYERS,TOP naispelaajista
cat2_sub7,TOP EARNING MEN,TOP EARNING MEN
cat2_sub8,TOP EARNING WOMEN,TOP EARNING NAISET
cat2_sub9,TOP COUNTRY BY WINNINGS,TOP MAAN VOITTOJEN
cat2_sub10,MOST PAID FINISHES,Useimmat maksulliset VIIMEISTELY
cat3,Players,Pelaajat
cat3_sub1,AGE,IKÄ
cat3_sub2,MOST PROFITABLE AGE,Kannattavimmat AGE
cat3_sub3,COUNTRY OF ORIGIN,ALKUPERÄMAA
cat3_sub4,MALE VS FEMALE,UROS VS NAARAS
cat4,Games,Pelit
cat4_sub1,Dota 2,Dota 2
cat4_sub2,LEAGUE OF LEGENDS,LEAGUE OF LEGENDS
cat4_sub3,COUNTER-STRIKE: GLOBAL OFFENSIVE,VASTAISKU MAAILMANLAAJUINEN HYÖKKÄYS
cat4_sub4,STARCRAFT II,Starcraft II
cat4_sub5,HEARTHSTONE,Hearthstone
cat1_sub1_title,AUDIENCE BY VIEWER TYPE,Yleisö VIEWER TYPE
